Date,Product,Category,Revenue,Profit,Quantity,Region
2024-01-01,耳机,电子产品,3244.08,377.19,10,华东
2024-01-01,打印纸,文具,1611.06,257.84,18,西南
2024-01-02,站立式办公桌,家具,37790.13,4449.69,15,东北
2024-01-02,订书机,文具,396.1,79.71,9,东北
2024-01-02,办公椅,家具,6572.4,1195.42,5,华南
2024-01-04,站立式办公桌,家具,13472.95,1669.29,5,华东
2024-01-04,运动水壶,运动,512.27,131.31,6,西南
2024-01-04,显示器,电子产品,17937.57,3210.79,10,华东
2024-01-05,耳机,电子产品,6059.59,1330.77,19,东北
2024-01-05,钢笔套装,文具,312.61,72.53,2,东北
2024-01-06,白板,文具,2831.67,592.45,7,华北
2024-01-06,打印纸,文具,250.93,49.86,4,东北
2024-01-07,耳机,电子产品,3499.72,103.82,14,西南
2024-01-08,显示器,电子产品,12336.63,1564.17,7,华北
2024-01-08,办公椅,家具,9991.92,782.76,8,东北
2024-01-08,订书机,文具,801.33,99.28,18,华东
2024-01-08,耳机,电子产品,5511.58,1491.98,18,华北
2024-01-09,白板,文具,3174.85,237.62,9,东北
2024-01-09,无线鼠标,电子产品,1167.67,303.82,10,华东
2024-01-09,办公椅,家具,4221.92,678.54,3,华南
2024-01-09,耳机,电子产品,5404.08,959.2,18,东北
2024-01-10,耳机,电子产品,1763.68,384.58,7,华东
2024-01-10,文件柜,家具,1825.64,252.21,3,华南
2024-01-10,文件柜,家具,7317.16,586.55,11,西南
2024-01-10,订书机,文具,811.99,165.51,18,华北
2024-01-11,运动水壶,运动,798.35,210.81,9,东北
2024-01-11,站立式办公桌,家具,42091.34,5298.5,16,华北
2024-01-11,笔记本电脑,电子产品,50065.43,9196.8,11,华东
2024-01-12,无线鼠标,电子产品,1645.81,230.59,13,东北
2024-01-12,瑜伽垫,运动,1898.81,639.41,13,华南
2024-01-12,耳机,电子产品,4698.0,1094.12,15,东北
2024-01-13,机械键盘,电子产品,4675.42,916.44,11,西南
2024-01-13,笔记本电脑,电子产品,38926.3,7608.89,8,西南
2024-01-13,打印纸,文具,566.74,56.28,7,西南
2024-01-14,跳绳,运动,361.96,125.03,10,东北
2024-01-15,无线鼠标,电子产品,915.91,192.31,9,华东
2024-01-16,显示器,电子产品,15313.01,1616.57,7,华北
2024-01-17,耳机,电子产品,3932.55,650.14,14,华东
2024-01-17,运动水壶,运动,1078.87,194.58,11,西南
